Collected Links,Outside PDF Text
/contentassets/c9981cbd1c054e3fa1a2a917d3e22939/inbjudan-till-larosatena-att-inkomma-med-underlag-till-regeringens-forskningspolitik.pdf,NO CONTENT
/contentassets/f0bce7ab7cb94f7ca766b01dc1399307/uppdrag-om-informationsinsatser-for-minskad-energianvandning-i-statlig-verksamhet.pdf,NO CONTENT
/contentassets/18dbd317274c488997ede753f6df2670/remissmissiv-sou-2023_24.pdf,NO CONTENT
/contentassets/b733625b94aa419aacc1ddc52c565ef0/remissinstanser-for-promemorian-aktivering-av-civilplikt-inom-den-kommunala-raddningstjansten-och-elforsorjningsomradet.pdf,NO CONTENT
/contentassets/2fc8df647281407d8943a2a2f6be7999/reviderat-remissmissiv-for-promemorian-fler-vertyg-i-socialtjansternas-arbete-for-att-forebyga-brott-och-starka-skyddet-for-barn-ds-2023-15.pdf,NO CONTENT
/contentassets/4b864262996f42afbe0f4dfaf2182fb3/tillaggsdirektiv-till-utredningen-om-skarpta-regler-for-unga-lagovertradare-ju-202313-dir.-2023156,NO CONTENT
/contentassets/f76292597e1c4b3ab7100e6efaaf84b4/remiss-pm-digitala-vardmoten.pdf,NO CONTENT
/contentassets/dbab8c41fa7e4029a1ed91ae66a209a4/promemoria_-ersattning-for-digitala-vardmoten-inom-den-nationella-taxan.pdf,NO CONTENT
NO CONTENT,"På regeringen.se använder vi kakor för att löpande förbättra webbplatsen. Du väljer själv om du accepterar kakor.Läs om kakor
Huvudnavigering
Huvudnavigering
Publicerad09 november 2023
I promemorian föreslås nya bestämmelser i förordningen (1994:1120) om ersättning för fysioterapi respektive i förordningen (1994:1121) om läkarvårdsersättning som gör det möjligt för vårdgivare som är verksamma enligt den nationella taxan att få ersättning för digitala vårdmöten i vissa fall. Bestämmelserna ska vara frivilliga att tillämpa för regionerna.
Publicerad13 september 2023·Departementsserien och promemorior,Rättsliga dokumentfrånSocialdepartementet
Publicerad11 september 2023·Departementsserien och promemorior,Rättsliga dokumentfrånSocialdepartementet
Publicerad05 juli 2023·Departementsserien och promemorior,Rättsliga dokumentfrånSocialdepartementet
Publicerad29 juni 2023·Departementsserien och promemorior,Rättsliga dokumentfrånSocialdepartementet
Regeringskansliet103 33 StockholmVäxel 08-405 10 00
Det här är regeringens och Regeringskansliets gemensamma webbplats."
/contentassets/61ac2a2262414baf91b2f5c3d1bed987/en-skyldighet-att-lamna-uppgifter-till-adoptionskommissionen.pdf,NO CONTENT
/contentassets/28e4d500a8814558be70e2f11376d968/kompletterande-bestammelser-med-anledning-av-eus-forordning-om-inrattande-av-en-mekanism-for-koldioxidjustering-vid-gransen.pdf,NO CONTENT
/contentassets/ad08213a124c4c9e973274f2f50fb4d7/remissinstanser-kompletterande-bestammelser-med-anledning-av-eus-forordning-om-inrattande-av-en-mekanism-for-koldioxidjustering-vid-gransen.pdf,NO CONTENT
/contentassets/c467435701ec43dc9774fea88c55bb04/riktlinjer-for-statsskuldens-forvaltning-2024.pdf,NO CONTENT
/contentassets/48e67eff93fd4a1b9ffbd07328aff7a3/remiss-av-sou-2023-38-ett-forstarkt-konsumentskydd-mot-riskfylld-kreditgivning-och-overskuldsattning.pdf,NO CONTENT
/contentassets/e16a435e0c4d48a388062fba8d8c1cbd/remissinstanser-for-eu-kommissionens-forslag-till-andringar-i-forordning-eg-nr-2017852-om-kvicksilver-och-om-upphavande-av-forordning-eg-nr-11022008.pdf,NO CONTENT
/contentassets/99890fe966574c16b0e30600c543893e/remiss-av-sou-2023-22-datalagring-och-atkomst-till-elektronisk-information-.pdf,NO CONTENT
/contentassets/5963c971d6f04620beea0aab320d68cd/remissinstanser-eu-kommissionens-forslag-till-forordning-och-radsbeslut-om-skydd-for-utsatta-vuxna.pdf,NO CONTENT
